SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location,date,Community
Vacant/Abandoned Building,11-00101619,01/21/2011,,,,,,,,7734,W,VICTORIA,ST,60631.0,1123716.23817588,1937610.93999226,41.0,16.0,10.0,41.98519036252778,-87.82035623641774,"(41.98519036252778, -87.82035623641774)",2011-01-21,10
Vacant/Abandoned Building,11-00101766,01/21/2011,Garage,,Open,REAR,Vacant,False,True,7725,S,DR MARTIN LUTHER KING JR,DR,60619.0,1180243.84066925,1853877.78767955,6.0,6.0,69.0,41.75430476838096,-87.61503002260466,"(41.75430476838096, -87.61503002260466)",2011-01-21,69
Vacant/Abandoned Building,11-00102743,01/21/2011,Front,,Open,,Vacant,False,True,7834,S,COLES,AVE,60649.0,1197426.01251479,1853805.44199924,7.0,4.0,43.0,41.75369533524482,-87.55206642213777,"(41.75369533524482, -87.55206642213778)",2011-01-21,43
Vacant/Abandoned Building,11-00102831,01/21/2011,Front,,Open,,Vacant,False,False,2502,W,MADISON,ST,60612.0,1159785.2330853997,1899932.9852701,2.0,13.0,28.0,41.88113011434977,-87.68873840002216,"(41.881130114349766, -87.68873840002217)",2011-01-21,28
Vacant/Abandoned Building,11-00102842,01/21/2011,Front,,Open,,Vacant,False,False,2504,W,MADISON,ST,60612.0,1159751.2330853997,1899931.8852701,2.0,13.0,28.0,41.88112779653976,-87.68886327645504,"(41.88112779653976, -87.68886327645504)",2011-01-21,28
Vacant/Abandoned Building,11-00102855,01/21/2011,Front,,Open,,Vacant,False,False,12,N,CAMPBELL,AVE,60612.0,1159850.58651563,1900048.65019505,2.0,13.0,28.0,41.88144616222178,-87.68849523469112,"(41.881446162221785, -87.68849523469113)",2011-01-21,28
Vacant/Abandoned Building,11-00102869,01/21/2011,Front,,Open,,Vacant,False,False,5618,S,PRINCETON,AVE,60621.0,1175244.82878755,1867670.88056735,3.0,7.0,68.0,41.792267627418475,-87.63293805047311,"(41.792267627418475, -87.63293805047311)",2011-01-21,68
Vacant/Abandoned Building,11-00102979,01/21/2011,,,,,,,,4309,W,GLADYS,AVE,60624.0,1147720.32256636,1898006.40448699,24.0,11.0,26.0,41.876083474094095,-87.73308982577056,"(41.87608347409409, -87.73308982577058)",2011-01-21,26
Vacant/Abandoned Building,11-00102995,01/21/2011,Front,,Boarded,PARITALLY BOARD,Vacant,False,False,7562,S,COLES,AVE,60649.0,1195966.22173086,1855582.49142752,7.0,4.0,43.0,41.75860794047549,-87.55735718355886,"(41.75860794047549, -87.55735718355886)",2011-01-21,43
Vacant/Abandoned Building,11-00103576,01/21/2011,Front,,Boarded,,Vacant,False,False,4121,W,NORTH,AVE,60639.0,1148574.67528349,1910314.24483117,30.0,25.0,23.0,41.90984106787167,-87.72963495487707,"(41.90984106787167, -87.72963495487707)",2011-01-21,23
